10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 100
DGraph fileName=./experiments/graphs/real/yagoFacts-small/yagoFacts-small.edge
DGraph |V|=10000,|E|=22122,|L|=32
DGraph size(byte)=284960, time(s)=27.8761
dataset: ./experiments/graphs/real/yagoFacts-small/yagoFacts-small.edge with |L|=32 and |V|=10000
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 284960
BFS required index construction time (s): 27.8761
Method: BFS queryset: 0
Query 0: (43,13,00000000000000000010000000010000, true), avg=0.00000083562
Query 1: (43,44,00000000000000001000000100000000, true), avg=0.00000052567
Query 2: (245,13,00000010000000000000000000010000, true), avg=0.00000052567
Query 3: (245,246,00000000000000000001000000000100, true), avg=0.00000052567
Query 4: (1810,13,00000000000000000000000000010001, true), avg=0.00000052567
Query 5: (1810,13,00000000000100000000000000010000, true), avg=0.00000052567
Query 6: (1810,13,00000000010000000000000000010000, true), avg=0.00000034494
Query 7: (2077,13,00000000000000000000000000010001, true), avg=0.00000041146
Query 8: (2077,13,00000000001000000000000000010000, true), avg=0.00000041146
Query 9: (2077,2001,00000000000000010000000000000001, true), avg=0.00000034494
Query 10: (2077,2001,01000000000000000000000000000001, true), avg=0.00000052567
Query 11: (2077,2078,00000000000000010000000000100000, true), avg=0.00000052567
Query 12: (2077,2078,01000000000000000000000000100000, true), avg=0.00000043531
Query 13: (3538,250,00000000000000000000000101000000, true), avg=0.00000052567
Query 14: (3538,250,00000000000001000000000001000000, true), avg=0.00000052567
Query 15: (3538,3539,00000000000000000000000001001000, true), avg=0.00000041146
Query 16: (3538,6834,00000000000000000000000001000010, true), avg=0.00000052567
Query 17: (3538,6834,00000100000000000000000001000000, true), avg=0.00000061604
Query 18: (3538,6834,00001000000000000000000001000000, true), avg=0.00000052567
Query 19: (3538,6834,01000000000000000000000001000000, true), avg=0.00000052567
Query 20: (5248,13,00000000000000010000000000010000, true), avg=0.00000043531
Query 21: (5248,13,00001000000000000000000000010000, true), avg=0.00000043531
Query 22: (5722,86,00000000000100000000000000000010, true), avg=0.00000400543
Query 23: (5722,396,00100000000100000000000000000000, true), avg=0.00000929832
Query 24: (5722,451,00000000000100000010000000000000, true), avg=0.00000569820
Query 25: (5722,451,00000000000110000000000000000000, true), avg=0.00000550746
Query 26: (5722,545,00000000000100000000000000010000, true), avg=0.00000550746
Query 27: (5722,549,00000000000100000000000000000100, true), avg=0.00000438690
Query 28: (5722,549,00000000000110000000000000000000, true), avg=0.00000441074
Query 29: (5722,665,00000000000100000000000010000000, true), avg=0.00000450611
Query 30: (5722,1000,00000000000100000000000000000001, true), avg=0.00000619888
Query 31: (5722,1188,00000000000100001000000000000000, true), avg=0.00000460147
Query 32: (5722,1278,00000000000100000000000000001000, true), avg=0.00000529289
Query 33: (5722,1544,00000000000100000000000000010000, true), avg=0.00000500679
Query 34: (5722,1544,00000000000100000000000010000000, true), avg=0.00000462532
Query 35: (5722,1544,00000000000100001000000000000000, true), avg=0.00000460147
Query 36: (5722,1625,00000000000100000000000000100000, true), avg=0.00000529289
Query 37: (5722,1625,00000000000100001000000000000000, true), avg=0.00000538825
Query 38: (5722,1625,00000001000100000000000000000000, true), avg=0.00000529289
Query 39: (5722,1912,00000000000100000000000000000100, true), avg=0.00000560283
Query 40: (5722,1912,10000000000100000000000000000000, true), avg=0.00000560283
Query 41: (5879,13,00000000000000000000000000010100, true), avg=0.00000061604
Query 42: (5879,13,00000000000000000000000000110000, true), avg=0.00000043531
Query 43: (5879,13,00000000000000000000000001010000, true), avg=0.00000052567
Query 44: (5879,13,00000010000000000000000000010000, true), avg=0.00000034494
Query 45: (5879,960,00000000000000000000000000010001, true), avg=0.00000043531
Query 46: (5879,960,00000100000000000000000000000001, true), avg=0.00000052567
Query 47: (5879,960,00001000000000000000000000000001, true), avg=0.00000052567
Query 48: (5879,960,10000000000000000000000000000001, true), avg=0.00000052567
Query 49: (5879,996,00000000000000000000000000110000, true), avg=0.00000052567
Query 50: (6064,32,01000000000000000000000001000000, true), avg=0.00000073025
Query 51: (6064,1783,00000000000000000000000001000100, true), avg=0.00000043531
Query 52: (6064,1783,00000000000010000000000001000000, true), avg=0.00000043531
Query 53: (6064,1783,00000000000100000000000001000000, true), avg=0.00000052567
Query 54: (6064,2112,00000000000000001000000001000000, true), avg=0.00000070641
Query 55: (6064,3160,00000000000000000000000001000001, true), avg=0.00000050183
