method name, index construction time (s), index size (MB),,,,,,,
BFS,1.06,81.68,,,,,,,
LandmarkedIndex23(oE)-k=2185-b=20,5_887.34,33_930.80,,,,,,,
,,,,,,,,,
,,,,,,,,,
BFS_queryset-0,BFS_queryset-1,BFS_queryset-2,LandmarkedIndex23(oE)-k=2185-b=20_queryset-0,LandmarkedIndex23(oE)-k=2185-b=20_queryset-1,LandmarkedIndex23(oE)-k=2185-b=20_queryset-2,,,,
0.0149517059,0.0091596444,0.0196886857,5.00679E-006,0.000004371,0.000004371,,2986.2858098702,2095.5489453214,4504.3893228094
0.0069260597,0.0100009441,0.019157966,6.35782E-006,4.60942E-006,4.68889E-006,,1089.3765032669,2169.6751717136,4085.8211580993
0.0170243581,0.0137089888,0.0168495973,6.03993E-006,4.60942E-006,0.000004371,,2818.6350023924,2974.1244711916,3854.8609677419
0.0331156254,0.009278059,0.0151173274,5.96046E-006,4.21206E-006,4.21206E-006,,5555.8841733692,2202.7366656695,3589.0579360218
0.0174306234,0.0231300195,0.0159137249,6.03993E-006,6.03993E-006,0.000004371,,2885.8982421982,3829.5178089812,3640.7515191032
0.0147265593,0.0281964143,0.0094335874,5.00679E-006,4.92731E-006,4.29153E-006,,2941.3175547606,5722.4762213053,2198.1874506295
0.0121976535,0.0261347294,0.0158399741,5.96046E-006,6.67572E-006,4.29153E-006,,2046.4282035279,3914.89298233,3690.9852849683
0.0208433469,0.0101926327,0.0167993704,5.00679E-006,5.00679E-006,4.05311E-006,,4163.0160062635,2035.7619692458,4144.8098965979
0.0221928755,0.0244847139,0.0197973251,8.98043E-006,3.81469E-006,4.29153E-006,,2471.2486529042,6418.5330577321,4613.1158654373
0.0034849644,0.0156739553,0.0214052995,9.29832E-006,5.00679E-006,4.68889E-006,,374.7950565263,3130.5397829747,4565.1101859929
0.021687746,0.0166083177,0.0167573293,8.98043E-006,5.96046E-006,0.000004371,,2415.0008451711,2786.4154259906,3833.7518416838
0.0566642284,0.0097606182,0.0164166292,9.29832E-006,6.35782E-006,3.89417E-006,,6094.0286449595,1535.2146175891,4215.6940118177
0.0218160152,0.0052613417,0.0169950326,9.0599E-006,4.60942E-006,4.05311E-006,,2407.9752800804,1141.4324860829,4193.0844758716
0.0456995964,0.0036416849,0.0163377126,8.66254E-006,0.000004371,3.89417E-006,,5275.5423236141,833.1468428277,4195.4287049615
0.0347790718,0.0044419765,0.0160775979,9.69568E-006,5.96046E-006,4.60942E-006,,3587.0688595333,745.2405586146,3487.9871936166
