Dataset	L2-10%-qs0-true	L2-10%-qs1-true	L2-10%-qs2-true	L2-15%-qs0-true	L2-15%-qs1-true	L2-15%-qs2-true
V5kD2L8exp	166.48	148.21	166.75	187.62	180.9	211.41
V125kD2L8exp	203.28	199.98	247.78	169.83	219.35	244.4
V25kD2L8exp	347.8	310.76	496.93	365.06	396.26	500.43
advogato	445.41	507.43	687.68	508.61	520.92	865.41
subeljCora	626.45	811.49	815.53	682.85	861.61	950.31
arXivhepp	866.43	1065.16	1093.05	1131.06	1668.65	1629.35
P2p-Gnutella	1136.36	320.23	707.05	1583.29	861.96	803.84
Soc-sign-epinions	2651.57	4313.21	4782.24	2851.82	3988.08	4627.8
twitter	81344.26	61924.21	82583.27	74059.19	58911.64	81225.1
						
Dataset	L2-10%-qs0-false	L2-10%-qs1-false	L2-10%-qs2-false	L2-15%-qs0-false	L2-15%-qs1-false	L2-15%-qs2-false
advogato	2.51	1.96	2.45	4.05	2.82	3.5
Soc-sign-epinions	2.87	2.21	2.19	4.15	3.07	3
V125kD2L8exp	3.48	2.43	2.34	415.61	10.78	4.36
V5kD2L8exp	4.55	2.7	2.01	92.77	14.24	4.76
V25kD2L8exp	4.71	2.66	1.88	196.05	10.43	3.73
arXivhepp	10.49	11.62	8.66	32.87	31.17	23.76
subeljCora	253.34	269.68	182.46	371.9	418.19	342.28
P2p-Gnutella	406.06	79.94	41.51	3820.04	3748.53	4608.16
twitter	39408.37	702709.5	172359.79	39519.37	702709.5	172359.79

