10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 100
DGraph fileName=./experiments/graphs/synthetic/ER/ERV1kD2L8uni.edge
DGraph |V|=1000,|E|=2000,|L|=8
DGraph size(byte)=32000, time(s)=0.00028801
dataset: ./experiments/graphs/synthetic/ER/ERV1kD2L8uni.edge with |L|=8 and |V|=1000
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 32000
BFS required index construction time (s): 0.00028802
Method: BFS queryset: 0
Query 0: (40,19,00000000000000000000000000000110, true), avg=0.00000200271
Query 1: (53,84,00000000000000000000000010000010, true), avg=0.00000031694
Query 2: (53,224,00000000000000000000000000000011, true), avg=0.00000031694
Query 3: (53,224,00000000000000000000000010000010, true), avg=0.00000029310
Query 4: (53,466,00000000000000000000000010000010, true), avg=0.00000038746
Query 5: (53,473,00000000000000000000000000010001, true), avg=0.00000041131
Query 6: (53,473,00000000000000000000000000010100, true), avg=0.00000031694
Query 7: (53,473,00000000000000000000000000011000, true), avg=0.00000038746
Query 8: (53,473,00000000000000000000000100010000, true), avg=0.00000038746
Query 9: (53,493,00000000000000000000000010000010, true), avg=0.00000050567
Query 10: (53,621,00000000000000000000000010000010, true), avg=0.00000050567
Query 11: (53,764,00000000000000000000000100001000, true), avg=0.00000041131
Query 12: (53,853,00000000000000000000000000001001, true), avg=0.00000031694
Query 13: (313,347,00000000000000000000000000100010, true), avg=0.00000041131
Query 14: (313,385,00000000000000000000000000000110, true), avg=0.00000050567
Query 15: (313,474,00000000000000000000000010000010, true), avg=0.00000050567
Query 16: (441,0,00000000000000000000000011000000, true), avg=0.00000069441
Query 17: (441,224,00000000000000000000000001100000, true), avg=0.00000041131
Query 18: (441,285,00000000000000000000000011000000, true), avg=0.00000100135
Query 19: (441,308,00000000000000000000000000010010, true), avg=0.00000050567
Query 20: (441,337,00000000000000000000000001010000, true), avg=0.00000069441
Query 21: (441,401,00000000000000000000000000010100, true), avg=0.00000029310
Query 22: (441,466,00000000000000000000000011000000, true), avg=0.00000071825
Query 23: (441,488,00000000000000000000000001000010, true), avg=0.00000069441
Query 24: (441,493,00000000000000000000000011000000, true), avg=0.00000081262
Query 25: (441,501,00000000000000000000000001000001, true), avg=0.00000031694
Query 26: (441,501,00000000000000000000000001010000, true), avg=0.00000038746
Query 27: (441,587,00000000000000000000000001000010, true), avg=0.00000081262
Query 28: (459,49,00000000000000000000000000100001, true), avg=0.00000031694
Query 29: (459,49,00000000000000000000000000101000, true), avg=0.00000038746
Query 30: (459,49,00000000000000000000000000110000, true), avg=0.00000031694
Query 31: (459,49,00000000000000000000000001100000, true), avg=0.00000041131
Query 32: (459,49,00000000000000000000000100100000, true), avg=0.00000041131
Query 33: (459,299,00000000000000000000000000001100, true), avg=0.00000038746
Query 34: (459,299,00000000000000000000000000011000, true), avg=0.00000038746
Query 35: (459,299,00000000000000000000000000101000, true), avg=0.00000012820
Query 36: (459,299,00000000000000000000000100001000, true), avg=0.00000031694
Query 37: (459,414,00000000000000000000000000001100, true), avg=0.00000050567
Query 38: (459,615,00000000000000000000000000100100, true), avg=0.00000038746
Query 39: (459,769,00000000000000000000000000011000, true), avg=0.00000050567
Query 40: (459,864,00000000000000000000000000001100, true), avg=0.00000060004
Query 41: (526,19,00000000000000000000000000000110, true), avg=0.00000131130
Query 42: (526,27,00000000000000000000000000000011, true), avg=0.00000031694
Query 43: (526,27,00000000000000000000000000010010, true), avg=0.00000031694
Query 44: (526,308,00000000000000000000000000000110, true), avg=0.00000090699
Query 45: (526,370,00000000000000000000000010000010, true), avg=0.00000069441
Query 46: (526,384,00000000000000000000000000000110, true), avg=0.00000109672
Query 47: (526,429,00000000000000000000000000001100, true), avg=0.00000022257
Query 48: (526,429,00000000000000000000000000010100, true), avg=0.00000029310
Query 49: (526,429,00000000000000000000000000100100, true), avg=0.00000029310
Query 50: (526,429,00000000000000000000000001000100, true), avg=0.00000029310
Query 51: (526,429,00000000000000000000000010000100, true), avg=0.00000031694
Query 52: (526,522,00000000000000000000000000000101, true), avg=0.00000041131
Query 53: (526,586,00000000000000000000000010000100, true), avg=0.00000038746
Query 54: (526,586,00000000000000000000000110000000, true), avg=0.00000012820
Query 55: (526,595,00000000000000000000000010000010, true), avg=0.00000081262
Query 56: (526,627,00000000000000000000000000001100, true), avg=0.00000041131
Query 57: (526,692,00000000000000000000000010000010, true), avg=0.00000060004
Query 58: (526,701,00000000000000000000000000000011, true), avg=0.00000029310
Query 59: (526,712,00000000000000000000000010000001, true), avg=0.00000031694
Query 60: (526,720,00000000000000000000000000000110, true), avg=0.00000060004
Query 61: (526,723,00000000000000000000000000000110, true), avg=0.00000050567
Query 62: (526,781,00000000000000000000000000000110, true), avg=0.00000060004
Query 63: (526,784,00000000000000000000000010000010, true), avg=0.00000050567
Query 64: (526,864,00000000000000000000000000000110, true), avg=0.00000081262
Query 65: (562,48,00000000000000000000000001000001, true), avg=0.00000062388
Query 66: (562,172,00000000000000000000000000101000, true), avg=0.00000071825
Query 67: (562,177,00000000000000000000000010000001, true), avg=0.00000060004
Query 68: (562,328,00000000000000000000000010000001, true), avg=0.00000050567
Query 69: (593,59,00000000000000000000000001000100, true), avg=0.00000041131
Query 70: (593,360,00000000000000000000000000001100, true), avg=0.00000029310
Query 71: (593,360,00000000000000000000000000010100, true), avg=0.00000019873
Query 72: (593,360,00000000000000000000000001000100, true), avg=0.00000031694
Query 73: (593,926,00000000000000000000000001000100, true), avg=0.00000031694
Query 74: (710,48,00000000000000000000000001000001, true), avg=0.00000071825
Query 75: (710,800,00000000000000000000000001000001, true), avg=0.00000050567
Query 76: (786,24,00000000000000000000000000100001, true), avg=0.00000041131
Query 77: (786,294,00000000000000000000000000100100, true), avg=0.00000050567
Query 78: (786,447,00000000000000000000000001100000, true), avg=0.00000041131
Query 79: (786,549,00000000000000000000000000100100, true), avg=0.00000029310
Query 80: (786,657,00000000000000000000000000100100, true), avg=0.00000041131
Query 81: (786,933,00000000000000000000000000110000, true), avg=0.00000041131
Query 82: (903,10,00000000000000000000000000110000, true), avg=0.00000038746
Query 83: (903,120,00000000000000000000000010100000, true), avg=0.00000050567
Query 84: (903,132,00000000000000000000000010000001, true), avg=0.00000078878
Query 85: (903,160,00000000000000000000000000100100, true), avg=0.00000041131
Query 86: (903,243,00000000000000000000000010000001, true), avg=0.00000031694
Query 87: (903,299,00000000000000000000000000001001, true), avg=0.00000069441
Query 88: (903,454,00000000000000000000000000100001, true), avg=0.00000050567
Query 89: (903,454,00000000000000000000000000100010, true), avg=0.00000050567
Query 90: (903,454,00000000000000000000000000101000, true), avg=0.00000050567
Query 91: (903,454,00000000000000000000000100100000, true), avg=0.00000038746
Query 92: (915,24,00000000000000000000000000110000, true), avg=0.00000050567
Query 93: (940,30,00000000000000000000000010001000, true), avg=0.00000138282
Query 94: (940,323,00000000000000000000000010001000, true), avg=0.00000060004
Query 95: (940,563,00000000000000000000000010001000, true), avg=0.00000109672
Query 96: (989,88,00000000000000000000000000100100, true), avg=0.00000069441
Query 97: (989,160,00000000000000000000000000100100, true), avg=0.00000050567
Query 98: (989,610,00000000000000000000000000010100, true), avg=0.00000050567
Query 99: (989,811,00000000000000000000000000100100, true), avg=0.00000060004
Query 0: (173,5,00000000000000000000000000011000, false), avg=0.00000095367
Query 1: (173,6,00000000000000000000000000001010, false), avg=0.00000071775
