10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 1000
DGraph fileName=./experiments/graphs/synthetic/ER/ERV5kD2L8uni.edge
DGraph |V|=5000,|E|=10000,|L|=8
DGraph size(byte)=160000, time(s)=0.00143695
dataset: ./experiments/graphs/synthetic/ER/ERV5kD2L8uni.edge with |L|=8 and |V|=5000
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 160000
BFS required index construction time (s): 0.001437
Method: BFS queryset: 0
Query 0: (4,6,00000000000000000000000011000000, true), avg=0.00000121209
Query 1: (4,696,00000000000000000000000011000000, true), avg=0.00000091599
Query 2: (4,919,00000000000000000000000001100000, true), avg=0.00000043531
Query 3: (4,952,00000000000000000000000011000000, true), avg=0.00000063988
Query 4: (4,1992,00000000000000000000000001000001, true), avg=0.00000034494
Query 5: (4,2204,00000000000000000000000011000000, true), avg=0.00000082062
Query 6: (4,2217,00000000000000000000000011000000, true), avg=0.00000041146
Query 7: (4,2385,00000000000000000000000001000001, true), avg=0.00000043531
Query 8: (4,2385,00000000000000000000000001000100, true), avg=0.00000034494
Query 9: (4,2385,00000000000000000000000001001000, true), avg=0.00000050183
Query 10: (4,2385,00000000000000000000000001100000, true), avg=0.00000043531
Query 11: (4,2385,00000000000000000000000101000000, true), avg=0.00000043531
Query 12: (4,2537,00000000000000000000000001000001, true), avg=0.00000050183
Query 13: (4,3513,00000000000000000000000011000000, true), avg=0.00000070641
Query 14: (4,3515,00000000000000000000000011000000, true), avg=0.00000061604
Query 15: (4,3632,00000000000000000000000011000000, true), avg=0.00000070641
Query 16: (4,3900,00000000000000000000000011000000, true), avg=0.00000043531
Query 17: (4,4043,00000000000000000000000001001000, true), avg=0.00000032110
Query 18: (4,4247,00000000000000000000000001000001, true), avg=0.00000034494
Query 19: (4,4247,00000000000000000000000001000100, true), avg=0.00000032110
Query 20: (4,4247,00000000000000000000000001001000, true), avg=0.00000034494
Query 21: (4,4247,00000000000000000000000001010000, true), avg=0.00000043531
Query 22: (4,4247,00000000000000000000000001100000, true), avg=0.00000043531
Query 23: (4,4247,00000000000000000000000011000000, true), avg=0.00000043531
Query 24: (4,4247,00000000000000000000000101000000, true), avg=0.00000032110
Query 25: (126,5,00000000000000000000000000001001, true), avg=0.00000034494
Query 26: (126,5,00000000000000000000000000100001, true), avg=0.00000034494
Query 27: (126,5,00000000000000000000000010000001, true), avg=0.00000043531
Query 28: (126,5,00000000000000000000000100000001, true), avg=0.00000043531
Query 29: (126,389,00000000000000000000000001000001, true), avg=0.00000070641
Query 30: (126,1368,00000000000000000000000001000001, true), avg=0.00000070641
Query 31: (126,2708,00000000000000000000000001000010, true), avg=0.00000032110
Query 32: (126,2708,00000000000000000000000010000010, true), avg=0.00000032110
Query 33: (126,2708,00000000000000000000000100000010, true), avg=0.00000032110
Query 34: (126,3248,00000000000000000000000001000001, true), avg=0.00000052567
Query 35: (234,8,00000000000000000000000000010001, true), avg=0.00000043531
Query 36: (248,5,00000000000000000000000000001001, true), avg=0.00000043531
Query 37: (248,5,00000000000000000000000000001010, true), avg=0.00000043531
Query 38: (248,5,00000000000000000000000000001100, true), avg=0.00000052567
Query 39: (248,5,00000000000000000000000000011000, true), avg=0.00000041146
Query 40: (248,5,00000000000000000000000000101000, true), avg=0.00000050183
Query 41: (248,5,00000000000000000000000001001000, true), avg=0.00000043531
Query 42: (248,5,00000000000000000000000010001000, true), avg=0.00000043531
