method name, index construction time (s), index size (MB),,,,,,,,,
BFS,1.09,81.68,,,,,,,,,
LandmarkedIndex12(oe)-k=3502-m=1-b=20,8_351.06,53_923.01,,,,,,,,,
LandmarkedIndex12(oe)-k=3502-m=1-b=40,8_347.77,53_919.79,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
BFS_queryset-0,BFS_queryset-1,BFS_queryset-2,LandmarkedIndex12(oe)-k=3502-m=1-b=20_queryset-0,LandmarkedIndex12(oe)-k=3502-m=1-b=20_queryset-1,LandmarkedIndex12(oe)-k=3502-m=1-b=20_queryset-2,LandmarkedIndex12(oe)-k=3502-m=1-b=40_queryset-0,LandmarkedIndex12(oe)-k=3502-m=1-b=40_queryset-1,LandmarkedIndex12(oe)-k=3502-m=1-b=40_queryset-2,,,
0.0155866941,0.0036336581,0.0201860269,4.68889E-006,4.05311E-006,4.29153E-006,4.05311E-006,0.000004371,4.29153E-006,,,
0.0071260134,0.0039426486,0.0194123586,4.92731E-006,3.97364E-006,3.97364E-006,5.64257E-006,3.97364E-006,4.05311E-006,,,
0.0171386401,0.0058216254,0.0170217355,5.00679E-006,4.05311E-006,4.05311E-006,5.00679E-006,4.05311E-006,3.81469E-006,,,
0.0336488883,0.0038414001,0.0153862635,5.00679E-006,3.97364E-006,3.97364E-006,5.00679E-006,4.05311E-006,4.05311E-006,,,
0.0175580184,0.0101826191,0.0160322984,5.00679E-006,4.68889E-006,3.89417E-006,5.32468E-006,5.00679E-006,4.05311E-006,,,
0.0155660311,0.0146199862,0.0095960299,4.29153E-006,4.05311E-006,3.97364E-006,3.97364E-006,3.89417E-006,4.05311E-006,,,
0.0127232869,0.0135189692,0.0164423784,5.00679E-006,0.000004371,3.97364E-006,5.2452E-006,4.68889E-006,4.05311E-006,,,
0.0218769709,0.0048560301,0.0170567036,4.29153E-006,3.97364E-006,3.97364E-006,4.05311E-006,3.97364E-006,4.29153E-006,,,
0.0230739911,0.0128703912,0.0203676224,5.64257E-006,4.29153E-006,3.97364E-006,6.35782E-006,0.000004371,4.05311E-006,,,
0.0036722819,0.0076453686,0.0220570564,5.96046E-006,0.000004371,4.05311E-006,7.3115E-006,3.97364E-006,4.05311E-006,,,
0.0225152969,0.0112956365,0.0167753696,5.32468E-006,5.32468E-006,4.05311E-006,6.27835E-006,5.96046E-006,4.05311E-006,,,
0.0570640564,0.0097085635,0.0168100198,5.64257E-006,5.00679E-006,3.97364E-006,5.96046E-006,5.64257E-006,3.97364E-006,,,
0.0226130486,0.005522569,0.0176236629,5.32468E-006,3.97364E-006,3.97364E-006,5.96046E-006,4.05311E-006,4.05311E-006,,,
0.0469454924,0.0038177172,0.0163063208,5.64257E-006,3.89417E-006,3.97364E-006,5.96046E-006,4.29153E-006,3.97364E-006,,,
0.0358189742,0.0046740373,0.0166020393,5.64257E-006,5.00679E-006,3.89417E-006,5.32468E-006,4.21206E-006,4.05311E-006,,,
0.0032193661,0.046112299,0.0416831175,5.64257E-006,4.60942E-006,3.97364E-006,5.96046E-006,4.68889E-006,3.97364E-006,,,
0.0080210368,0.0452500979,0.0432323615,0.000004371,0.000004371,3.97364E-006,4.68889E-006,5.00679E-006,3.89417E-006,,,
0.0340569814,0.0302042961,0.0411326885,5.32468E-006,0.000004371,3.97364E-006,5.32468E-006,4.92731E-006,3.97364E-006,,,
0.0031696161,0.0358630021,0.0431657632,5.64257E-006,4.60942E-006,3.97364E-006,5.64257E-006,4.21206E-006,4.05311E-006,,,
0.0085097154,0.0390226046,0.038630724,5.64257E-006,4.68889E-006,3.97364E-006,5.64257E-006,4.60942E-006,3.89417E-006,,,
0.006608963,0.005329291,0.0364507039,5.64257E-006,3.97364E-006,4.05311E-006,5.96046E-006,4.05311E-006,4.05311E-006,,,
0.0229403178,0.0038673878,0.0283153057,5.64257E-006,4.05311E-006,4.05311E-006,5.64257E-006,4.68889E-006,3.89417E-006,,,
0.0318454107,0.0239649614,0.0207546552,5.32468E-006,5.00679E-006,4.05311E-006,5.32468E-006,5.00679E-006,0.000004371,,,
0.0413741271,0.0037117004,0.0203692913,5.64257E-006,4.60942E-006,3.97364E-006,5.64257E-006,5.00679E-006,4.05311E-006,,,
0.0219368935,0.006436348,0.0104475021,0.000004371,0.000004371,3.97364E-006,3.97364E-006,5.00679E-006,3.97364E-006,,,
