V5kD2L8uni	V5kD2L8norm	V5kD2L8exp	V25kD2L8exp
0.06	0.07	0.2	0.23
0.06	0	0	0.23
0.06	0.07	0.19	0.24
0.06	0.07	0.19	0
0	0.08	0	0.24
0.06	0.08	0.2	0.23
0.06	0.07	0.19	0.25
0.06	0.07	0.18	0.25
0	0.07	0.21	0
0.06	0.07	0.2	0
0.06	0.06	0	0.48
0.06	0.06	0	0.24
0.05	0.07	0.2	0.24
0.06	0	0.2	0.23
0.07	0.08	0.19	0.22
0	0.07	0.19	0.23
0.07	0	0.2	0.23
0.06	0.08	0.2	0.23
0	0	0.19	0.22
0	0.07	0	0.22
0	0.07	0.2	0.24
0.06	0	0.2	0.26
0.06	0.07	0	0.48
0.06	0.07	0.21	0.24
0.06	0.07	0.19	0.22
0.06	0.08	0	0.23
0	0.07	0.3	0
0.06	0.08	0.4	0.23
0	0.07	0.38	0.24
0	0.08	0.4	0.23
 
