DGraph fileName=experiments/graphs/synthetic/PA/exp/V5kD2L8exp.edge,,,,,,,Speed-up (exp),Speed-up (norm),Speed-up (uni),,Difficulty (exp),Difficulty (norm),Difficulty (uni),,,Speed-up (D3),Speed-up (D4),Speed-up (D5),,,,,
DGraph |V|=5000,|E|=9997,|L|=8,,,,,3.54,0.29,0.49,,3130,715,1427,,,0.42,0.45,1.13,,,2640,5137,7934
DGraph size(byte)=159952, time(s)=0.00143218,,,,,,3.64,0.39,0.52,,3130,737,1428,,,0.62,0.67,1.21,,,2756,5144,8290
LandmarkedIndex::determineLandmarks noOfLandmarks=100 ,method=1,,,,,,4.08,0.51,0.63,,3131,906,1428,,,0.67,0.7,1.21,,,2757,5722,8361
LandmarkedIndex2(o)-k=100-m=1-b=0-Index initialized,,,,,,,4.48,0.52,0.69,,3137,937,1433,,,0.67,0.87,1.22,,,2762,5723,8365
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=5 5% , ,roundNo=3089,size=357284,time(s)=0.02141,,,4.64,0.7,0.7,,3152,1002,1438,,,0.67,0.87,1.35,,,3143,5875,8521
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=10 10% , ,roundNo=401,size=708664,time(s)=0.028862,,,4.67,0.71,0.78,,3152,1018,1442,,,0.71,0.89,1.36,,,3333,5902,8521
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=25 25% , ,roundNo=24417,size=1405832,time(s)=0.0430939,,,4.67,0.72,0.84,,3153,1022,1442,,,0.74,0.96,1.37,,,3447,6184,8526
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=30 30% , ,roundNo=417,size=1677908,time(s)=0.0474958,,,4.77,0.76,0.85,,3168,1113,1471,,,0.75,1,1.39,,,3454,6275,8550
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=35 35% , ,roundNo=0,size=1884236,time(s)=0.050817,,,4.86,0.79,0.85,,3168,1115,1473,,,0.86,1.04,1.43,,,3474,6288,8844
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=40 40% , ,roundNo=1553,size=2190968,time(s)=0.0569959,,,5.04,0.86,0.87,,3169,1135,1473,,,0.91,1.04,1.43,,,3541,6363,8848
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=55 55% , ,roundNo=209,size=2599408,time(s)=0.0636709,,,5.04,0.87,0.89,,3172,1148,1476,,,0.94,1.06,1.44,,,3578,6541,9004
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=65 65% , ,roundNo=0,size=2946572,time(s)=0.0709908,,,5.09,0.87,0.9,,3173,1154,1477,,,1.04,1.1,1.46,,,7322,6637,9242
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=85 85% , ,roundNo=417,size=3406004,time(s)=0.0800209,,,5.14,0.89,0.9,,3173,1161,1478,,,1.06,1.1,1.47,,,7323,6644,9264
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=90 90% , ,roundNo=401,size=3610728,time(s)=0.0834708,,,5.19,0.9,0.91,,3174,1163,1478,,,1.11,1.13,1.47,,,7323,6652,9599
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=100 100% , ,roundNo=209,size=3956068,time(s)=0.089664,,,5.25,0.95,0.93,,3182,1214,1483,,,1.48,1.21,1.47,,,7327,6773,9615
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (landmarks) (o) i=110 110% , ,roundNo=785,size=4093028,time(s)=0.0924909,,,5.27,0.96,0.93,,3182,1260,1491,,,1.5,1.22,1.48,,,7327,6897,9784
