 textbf{ERV1kD2L8uni} 	0.01	1099.13	0.03	13.56	0.13	0.86	0.86	3.18
textbf{ERV1kD5L8uni} 	0.01	1219.76	0.89	51.94	1.18	3.91	3.92	17.61
textbf{ff1k-0.2-0.4} 	0.01	43.48	0.06	3.38	0.14	0.06	0.06	0.22
textbf{plV1kL8a2.0exp} 	0.01	39.60	0.06	2.19	0.15	0.13	0.13	0.39
textbf{robots} 	0.01	11.99	0.07	1.49	0.07	0.06	0.06	0.11
textbf{V1kD2L12exp} 	0.01	39.96	0.03	3.15	0.07	0.03	0.03	0.19
textbf{V1kD2L8exp} 	0.01	41.48	0.03	3.51	0.06	0.03	0.03	0.20
textbf{V1kD2L8norm} 	0.01	308.75	0.04	6.22	0.12	0.17	0.17	0.55
textbf{V1kD2L8uni} 	0.01	502.83	0.05	6.04	0.15	0.25	0.25	0.75
textbf{V1kD5L8exp} 	0.01	191.39	0.17	9.74	0.38	0.28	0.27	1.01
textbf{V1kD5L8norm} 	0.01	611.15	0.30	17.53	0.91	0.53	0.53	2.60
textbf{V1kD5L8uni} 	0.01	908.33	0.37	19.15	1.01	0.69	0.69	3.44
								
Average	0.01	418.15	0.18	11.49	0.36	0.58	0.58	2.52
								
textbf{ERV1kD2L8uni}	0.03	26.64	0.04	36.49	1.53	3.87	3.88	26.76
textbf{ERV1kD5L8uni}	0.08	88.54	9.50	85.58	8.00	9.47	9.49	88.68
textbf{ff1k-0.2-0.4}	0.04	8.61	1.03	15.52	1.70	1.52	1.54	8.73
textbf{plV1kL8a2.0exp}	0.03	7.02	0.65	15.30	1.67	1.23	1.24	7.15
textbf{robots}	0.04	4.84	0.90	28.26	1.15	1.76	1.78	4.95
textbf{V1kD2L12exp}	0.03	10.70	0.37	15.78	1.41	1.36	1.39	10.87
textbf{V1kD2L8exp}	0.03	11.66	0.38	15.87	1.48	1.47	1.48	11.77
textbf{V1kD2L8norm}	0.03	17.35	0.47	23.74	1.90	2.61	2.63	17.47
textbf{V1kD2L8uni}	0.03	21.36	0.77	27.96	2.26	3.33	3.35	21.48
textbf{V1kD5L8exp}	0.07	29.26	4.23	26.10	4.65	3.84	3.86	29.39
textbf{V1kD5L8norm}	0.07	49.21	4.82	46.40	7.69	5.86	5.89	49.35
textbf{V1kD5L8uni}	0.07	57.28	5.75	54.40	8.88	6.73	6.76	57.42
								
Average	0.05	27.71	2.41	32.62	3.53	3.59	3.61	27.84
