textbf{advogato}	0.01	0.84	0.82	0.8	1.48		textbf{advogato}	0.82	27.57	27.46	27.44	54.6
textbf{yagoFacts-small}	27.87	28.04	28.04	28.03	28.04		textbf{yagoFacts-small}	0.28	0.51	0.3	0.3	0.74
textbf{subeljCoraL8exp}	0.01	5.27	5.16	5.09	8.94		textbf{subeljCoraL8exp}	1.46	54.94	54.67	54.67	109.86
textbf{arXivhepphL8exp}	0.06	291.75	292.83	293.22	417.95		textbf{arXivhepphL8exp}	6.74	613.21	611.96	611.92	1281.71
textbf{p2p-GnutellaL8exp}	0.02	103.05	102.19	101.5	173.48		textbf{p2p-GnutellaL8exp}	2.36	3668.12	3667.25	3667.24	7298.9
textbf{ERV5kD2L8uni}	0.01	26.98	27.03	26.98	41.33		textbf{ERV5kD2L8uni}	0.16	62	61.97	61.97	119.71
textbf{ERV25kD2L8uni}	0.02	978.67	977.01	1069.33	1448.87		textbf{ERV25kD2L8uni}	0.8	1645.72	1645.56	1645.56	3151.02
textbf{ff5k-0.2-0.4}	0.01	1.05	1.03	1.02	1.58		textbf{ff5k-0.2-0.4}	0.2	17.08	17.03	16.93	32.22
textbf{plV5kL8a2.0exp}	0.01	1.48	1.46	1.45	2.4		textbf{plV5kL8a2.0exp}	0.25	17.38	17.29	17.29	32.71
textbf{plV25L8ka2.0exp}	0.03	30.44	30.37	31.08	50.17		textbf{plV25L8ka2.0exp}	1.44	421.25	420.68	420.68	811.87
textbf{V5kD2L8exp}	0.01	0.36	0.35	0.34	0.61		textbf{V5kD2L8exp}	0.15	18.12	18.08	17.99	35.22
textbf{V5kD2L8norm}	0.01	3.49	3.46	3.45	5.09		textbf{V5kD2L8norm}	0.15	39.09	39.05	38.94	71.66
textbf{V5kD2L8uni}	0.01	5.51	5.55	5.48	7.78		textbf{V5kD2L8uni}	0.15	46.39	46.35	46.25	84.7
textbf{V25kD2L8exp}	0.01	9.81	9.65	9.48	16.54		textbf{V25kD2L8exp}	0.79	437.62	437.38	437.16	857.19
textbf{V25kD2L8norm}	0.02	110.03	110.09	109.99	156.99		textbf{V25kD2L8norm}	0.79	992.47	992.25	992	1830.24
textbf{V25kD2L8uni}	0.01	157.78	157.49	157.38	216.81		textbf{V25kD2L8uni}	0.79	1169.63	1169.43	1169.17	2121.92
textbf{V125kD2L8exp}	0.03	262.3	267.49	254.91	445.85		textbf{V125kD2L8exp}	3.99	10787.3	10786.07	10785.39	21291.71
textbf{V125kD2L8norm}	0.03	2944.69	2956.99	2953.46	4182.9		textbf{V125kD2L8norm}	3.99	24381.91	24380.83	24380.22	45072.8
textbf{V125kD2L8uni}	0.03	4341.67	4380.9	4372.79	6080.1		textbf{V125kD2L8uni}	3.99	29044.04	29043.01	29042.46	53146
												
Total average	1.48	489.64	492.52	496.09	699.31			1.54	3865.49	3865.09	3864.93	7231.83
												
												
												
												
textbf{advogato}	0.203	0.243	0.246	0.297	0.383	0.37						
textbf{yagoFacts-small}	0.001	0.001	0.002	0	0.004	0.004						
textbf{subeljCoraL8exp}	0.225	0.24	0.261	0.337	0.378	0.42						
textbf{arXivhepphL8exp}	1.305	1.077	0.937	1.758	2.139	2.606						
textbf{p2p-GnutellaL8exp}	0.427	0.297	0.302	1.965	2.185	2.241						
textbf{ERV5kD2L8uni}	0	0.008	0.079	0	0.013	0.121						
textbf{ERV25kD2L8uni}	0.001	0.052	0.389	0.002	0.058	0.674						
textbf{ff5k-0.2-0.4}	0.067	0.043	0.044	0.183	0.125	0.169						
textbf{plV5kL8a2.0exp}	0.146	0.155	0.16	0.134	0.173	0.22						
textbf{plV25L8ka2.0exp}	0.841	0.862	0.917	0.823	0.929	1.341						
textbf{V5kD2L8exp}	0.059	0.048	0.049	0.154	0.177	0.191						
textbf{V5kD2L8norm}	0.018	0.042	0.037	0.025	0.076	0.139						
textbf{V5kD2L8uni}	0.007	0.029	0.033	0.007	0.063	0.135						
textbf{V25kD2L8exp}	0.207	0.17	0.147	0.807	0.893	0.877						
textbf{V25kD2L8norm}	0.303	0.143	0.139	0.195	0.385	0.738						
textbf{V25kD2L8uni}	0.041	0.141	0.115	0.049	0.367	0.749						
textbf{V125kD2L8exp}	0.304	0.26	0.279	4.243	3.901	5.066						
textbf{V125kD2L8norm}	0.235	0.267	0.253	0.402	1.856	3.786						
textbf{V125kD2L8uni}	0.101	0.264	0.163	0.251	1.662	4.008						
												
	0.24	0.23	0.24	0.61	0.83	1.26						
